iteration,lasso_loss,ridge_loss,standard_loss
2.690000000000000000e+02,5.658777720121899169e-01,5.922477375595202043e-01,5.921949013544954843e-01
2.700000000000000000e+02,5.658777720121899169e-01,5.921357112628093944e-01,5.920827487882652784e-01
2.710000000000000000e+02,5.658777720121899169e-01,5.920241905593792708e-01,5.919711017991696744e-01
2.720000000000000000e+02,5.658777720121899169e-01,5.919131726272145455e-01,5.918599575639421628e-01
2.730000000000000000e+02,5.658777720121899169e-01,5.918026546682103595e-01,5.917493132832615244e-01
2.740000000000000000e+02,5.658777720121899169e-01,5.916926339078123487e-01,5.916391661813892311e-01
2.750000000000000000e+02,5.658777720121899169e-01,5.915831075946614837e-01,5.915295135058143972e-01
2.760000000000000000e+02,5.658777720121899169e-01,5.914740730002493452e-01,5.914203525269084993e-01
2.770000000000000000e+02,5.658777720121899169e-01,5.913655274185786181e-01,5.913116805375854268e-01
2.780000000000000000e+02,5.658777720121899169e-01,5.912574681658333553e-01,5.912034948529706346e-01
2.790000000000000000e+02,5.658777720121899169e-01,5.911498925800549031e-01,5.910957928100765146e-01
2.800000000000000000e+02,5.658777720121899169e-01,5.910427980208254883e-01,5.909885717674860928e-01
2.810000000000000000e+02,5.658777720121899169e-01,5.909361818689583545e-01,5.908818291050416116e-01
2.820000000000000000e+02,5.658777720121899169e-01,5.908300415261954486e-01,5.907755622235418835e-01
2.830000000000000000e+02,5.658777720121899169e-01,5.907243744149098807e-01,5.906697685444449730e-01
2.840000000000000000e+02,5.658777720121899169e-01,5.906191779778170448e-01,5.905644455095773182e-01
2.850000000000000000e+02,5.658777720121899169e-01,5.905144496776895124e-01,5.904595905808497358e-01
2.860000000000000000e+02,5.658777720121899169e-01,5.904101869970804772e-01,5.903552012399787552e-01
2.870000000000000000e+02,5.658777720121899169e-01,5.903063874380506393e-01,5.902512749882139476e-01
2.880000000000000000e+02,5.658777720121899169e-01,5.902030485219027511e-01,5.901478093460718055e-01
2.890000000000000000e+02,5.658777720121899169e-01,5.901001677889203823e-01,5.900448018530736194e-01
